,scenario,run,acc,f1_score,auroc
99,df_to_dp_53,1,0.6750,0.6074,0.6667
100,df_to_dp_54,1,0.6250,0.5595,0.8675
101,df_to_dp_55,1,0.5250,0.4574,0.9342
102,df_to_dp_56,1,0.7500,0.6667,0.9733
103,df_to_dp_57,1,0.7250,0.6380,0.9392
104,df_to_dp_58,1,0.4000,0.3548,0.7108
105,df_to_dp_59,1,0.6500,0.5846,0.9942
106,df_to_dp_60,1,0.3750,0.2778,0.6483
107,df_to_dp_61,1,0.6500,0.5898,0.7592
108,df_to_dp_62,1,0.7500,0.7401,0.9700
109,df_to_dp_63,1,0.7250,0.6790,0.9475
110,df_to_dp_64,1,0.5500,0.4621,0.9292
111,df_to_dp_65,1,0.4750,0.3896,0.7508
112,df_to_dp_66,1,0.3000,0.2149,0.6021
113,df_to_dp_67,1,0.6250,0.5595,0.8683
114,df_to_dp_68,1,0.5750,0.5015,0.8892
115,df_to_dp_69,1,0.5250,0.4658,0.9608
116,df_to_dp_70,1,0.6000,0.5177,0.8392
117,df_to_dp_71,1,0.6250,0.5595,0.9442
118,df_to_dp_72,1,0.5750,0.5091,0.9225
119,df_to_dp_73,1,0.2500,0.1000,0.6783
120,df_to_dp_74,1,0.3784,0.2613,0.5889
121,df_to_dp_75,1,0.6750,0.6074,0.9742
122,df_to_dp_15,2,0.2500,0.1020,0.4042
123,df_to_dp_16,2,0.5000,0.3750,0.8075
124,df_to_dp_17,2,0.4250,0.3222,0.5750
125,df_to_dp_18,2,0.4000,0.3095,0.7117
126,df_to_dp_19,2,0.4750,0.3618,0.5567
127,df_to_dp_20,2,0.5000,0.3750,0.8692
128,df_to_dp_21,2,0.5000,0.3750,0.8158
129,df_to_dp_22,2,0.4250,0.3278,0.7250
130,df_to_dp_23,2,0.4750,0.3618,0.7300
131,df_to_dp_24,2,0.4750,0.3588,0.8308
132,df_to_dp_25,2,0.5000,0.3750,0.6992
133,df_to_dp_26,2,0.4750,0.3650,0.7933
134,df_to_dp_27,2,0.5000,0.3750,0.6992
135,df_to_dp_28,2,0.5000,0.3750,0.6708
136,df_to_dp_29,2,0.4750,0.3889,0.7292
137,df_to_dp_30,2,0.5250,0.4484,0.5600
138,df_to_dp_31,2,0.3750,0.2886,0.5938
139,df_to_dp_32,2,0.4750,0.3618,0.8092
140,df_to_dp_33,2,0.5000,0.3851,0.7808
141,df_to_dp_34,2,0.4000,0.3011,0.5942
142,df_to_dp_35,2,0.3000,0.1875,0.6742
143,df_to_dp_36,2,0.3000,0.2053,0.8000
144,df_to_dp_37,2,0.4750,0.3588,0.7192
145,df_to_dp_38,2,0.5000,0.3750,0.5500
146,df_to_dp_39,2,0.3250,0.2218,0.7883
147,df_to_dp_40,2,0.4250,0.3222,0.7267
148,df_to_dp_41,2,0.4750,0.3618,0.5037
149,df_to_dp_42,2,0.4250,0.3375,0.7542
150,df_to_dp_43,2,0.3750,0.2803,0.4858
151,df_to_dp_44,2,0.5000,0.4348,0.8383
152,df_to_dp_45,2,0.5000,0.3750,0.7833
153,df_to_dp_46,2,0.5000,0.3750,0.8225
154,df_to_dp_47,2,0.5000,0.3663,0.8992
155,df_to_dp_48,2,0.5000,0.3750,0.9158
156,df_to_dp_49,2,0.5000,0.3750,0.7300
157,df_to_dp_50,2,0.5750,0.4752,0.9742
158,df_to_dp_51,2,0.5000,0.3750,0.8800
159,df_to_dp_52,2,0.5000,0.3782,0.8258
160,df_to_dp_53,2,0.4750,0.3588,0.6517
161,df_to_dp_54,2,0.4750,0.3588,0.9150
162,df_to_dp_55,2,0.4250,0.3278,0.8400
163,df_to_dp_56,2,0.5250,0.4017,0.9517
164,df_to_dp_57,2,0.6750,0.6074,0.9400
165,df_to_dp_58,2,0.3750,0.3400,0.6208
166,df_to_dp_59,2,0.4750,0.3889,0.8800
167,df_to_dp_60,2,0.3500,0.2516,0.6250
168,df_to_dp_61,2,0.4250,0.3492,0.7383
169,df_to_dp_62,2,0.4250,0.3278,0.7725
170,df_to_dp_63,2,0.5250,0.4237,0.9125
171,df_to_dp_64,2,0.5000,0.3750,0.8725
172,df_to_dp_65,2,0.2500,0.1000,0.4808
173,df_to_dp_66,2,0.2500,0.1000,0.6054
174,df_to_dp_67,2,0.4750,0.3618,0.8758
175,df_to_dp_68,2,0.3250,0.2404,0.7508
176,df_to_dp_69,2,0.2500,0.1000,0.7933
177,df_to_dp_70,2,0.5500,0.4566,0.7975
178,df_to_dp_71,2,0.5750,0.5091,0.9500
