,scenario,run,acc,f1_score,auroc
0,df_to_dp_15,0,0.7250,0.6416,0.9983
1,df_to_dp_16,0,0.7500,0.6667,0.9258
2,df_to_dp_17,0,0.7750,0.7685,0.9825
3,df_to_dp_18,0,0.7250,0.6585,0.9825
4,df_to_dp_19,0,0.7250,0.6367,0.9650
5,df_to_dp_20,0,0.8000,0.7830,0.9917
6,mean,-,0.7500,0.6925,0.9743
7,std,-,0.0316,0.0656,0.0263
