,scenario,run,src_risk,few_shot_risk,trg_risk
89,syn_14_to_dp_14,9,0.0017,2.3189,2.7573
90,syn_15_to_dp_15,0,0.0020,3.1030,2.2499
91,syn_15_to_dp_15,1,0.0031,0.8598,1.6356
92,syn_15_to_dp_15,2,0.0029,0.7358,1.9565
93,syn_15_to_dp_15,3,0.0072,1.9557,2.6284
94,syn_15_to_dp_15,4,0.0059,3.0559,4.9702
95,syn_15_to_dp_15,5,0.0069,3.0845,2.7328
96,syn_15_to_dp_15,6,0.0029,1.9392,2.5439
97,syn_15_to_dp_15,7,0.0021,2.6682,2.0729
98,syn_15_to_dp_15,8,0.0040,2.1647,2.5868
99,syn_15_to_dp_15,9,0.0022,1.2516,1.6208
100,syn_16_to_dp_16,0,0.0001,3.1175,4.1979
101,syn_16_to_dp_16,1,0.0001,3.1867,4.5076
102,syn_16_to_dp_16,2,0.0001,3.7540,4.3433
103,syn_16_to_dp_16,3,0.0001,3.3076,4.1403
104,syn_16_to_dp_16,4,0.0005,4.9592,6.3033
105,syn_16_to_dp_16,5,0.0004,4.3887,4.0104
106,syn_16_to_dp_16,6,0.0001,4.0594,5.1325
107,syn_16_to_dp_16,7,0.0003,3.9682,4.2524
108,syn_16_to_dp_16,8,0.0006,4.7671,5.0171
109,syn_16_to_dp_16,9,0.0005,2.9166,3.9727
110,syn_17_to_dp_17,0,0.0003,2.6101,3.6938
111,syn_17_to_dp_17,1,0.0011,1.5412,1.9508
112,syn_17_to_dp_17,2,0.0003,2.1698,3.0254
113,syn_17_to_dp_17,3,0.0007,2.4226,2.4622
114,syn_17_to_dp_17,4,0.0002,2.3342,2.7695
115,syn_17_to_dp_17,5,0.0002,1.5712,2.0721
116,syn_17_to_dp_17,6,0.0009,2.6874,4.0136
117,syn_17_to_dp_17,7,0.0002,2.3081,2.9437
118,syn_17_to_dp_17,8,0.0011,1.6951,2.6359
119,syn_17_to_dp_17,9,0.0003,2.1167,3.1267
120,syn_18_to_dp_18,0,0.0003,2.7998,3.2779
121,syn_18_to_dp_18,1,0.0003,3.2425,3.8988
122,syn_18_to_dp_18,2,0.0025,2.4582,2.7584
123,syn_18_to_dp_18,3,0.0012,2.5416,3.5383
124,syn_18_to_dp_18,4,0.0002,2.5088,3.1569
125,syn_18_to_dp_18,5,0.0011,4.2493,4.7440
126,syn_18_to_dp_18,6,0.0005,2.8598,3.4238
127,syn_18_to_dp_18,7,0.0007,3.5036,3.9910
128,syn_18_to_dp_18,8,0.0006,3.7661,4.6307
129,syn_18_to_dp_18,9,0.0025,2.9043,3.6278
130,syn_19_to_dp_19,0,0.0186,2.1453,2.1695
131,syn_19_to_dp_19,1,0.0058,1.0763,1.2008
132,syn_19_to_dp_19,2,0.0111,1.5149,1.2640
133,syn_19_to_dp_19,3,0.0051,1.7496,1.6544
134,syn_19_to_dp_19,4,0.0063,2.4099,2.5959
135,syn_19_to_dp_19,5,0.0073,1.7690,1.7698
136,syn_19_to_dp_19,6,0.0060,2.3854,2.3664
137,syn_19_to_dp_19,7,0.0051,1.6851,1.4616
138,syn_19_to_dp_19,8,0.0042,2.6260,2.6614
139,syn_19_to_dp_19,9,0.0054,2.0251,1.8996
140,syn_20_to_dp_20,0,0.0001,3.3866,4.2080
141,syn_20_to_dp_20,1,0.0058,2.2952,2.6394
142,syn_20_to_dp_20,2,0.0020,3.0301,4.2305
143,syn_20_to_dp_20,3,0.0015,1.7986,2.3517
144,syn_20_to_dp_20,4,0.0002,4.0968,4.1790
145,syn_20_to_dp_20,5,0.0003,1.9847,2.4893
146,syn_20_to_dp_20,6,0.0003,3.1190,3.8250
147,syn_20_to_dp_20,7,0.0005,1.1338,1.8373
148,syn_20_to_dp_20,8,0.0012,3.1753,4.1411
149,syn_20_to_dp_20,9,0.0001,2.4867,3.4662
150,mean,-,0.0034,2.4774,2.9666
151,std,-,0.0064,0.8767,1.0458
