,scenario,run,src_risk,few_shot_risk,trg_risk
99,df_to_dp_53,1,0.1081,10.6937,6.7319
100,df_to_dp_54,1,0.1081,14.9942,9.2285
101,df_to_dp_55,1,0.1081,14.4040,9.0316
102,df_to_dp_56,1,0.1081,14.6318,9.3276
103,df_to_dp_57,1,0.1081,14.6517,8.9151
104,df_to_dp_58,1,0.1081,20.4569,12.4860
105,df_to_dp_59,1,0.1081,15.6218,9.6613
106,df_to_dp_60,1,0.1081,5.0370,3.8792
107,df_to_dp_61,1,0.1081,16.6384,9.7314
108,df_to_dp_62,1,0.1081,14.7629,9.2817
109,df_to_dp_63,1,0.1081,14.7542,9.3040
110,df_to_dp_64,1,0.1081,14.3735,8.9641
111,df_to_dp_65,1,0.1081,15.7823,9.7630
112,df_to_dp_66,1,0.1081,11.7397,7.1762
113,df_to_dp_67,1,0.1081,15.4841,9.6155
114,df_to_dp_68,1,0.1081,16.2791,10.3601
115,df_to_dp_69,1,0.1081,19.0480,11.9566
116,df_to_dp_70,1,0.1081,17.0816,9.6520
117,df_to_dp_71,1,0.1081,15.6906,9.8519
118,df_to_dp_72,1,0.1081,16.2261,10.0169
119,df_to_dp_73,1,0.1081,6.6798,4.5030
120,df_to_dp_74,1,0.1081,7.3043,4.3881
121,df_to_dp_75,1,0.1081,14.0675,8.8513
122,df_to_dp_15,2,0.0913,8.0211,5.4139
123,df_to_dp_16,2,0.0913,7.1862,4.8085
124,df_to_dp_17,2,0.0913,7.1980,4.8296
125,df_to_dp_18,2,0.0913,6.4611,4.5676
126,df_to_dp_19,2,0.0913,7.8313,5.4615
127,df_to_dp_20,2,0.0913,6.8906,4.5938
128,df_to_dp_21,2,0.0913,7.0834,4.9945
129,df_to_dp_22,2,0.0913,7.6807,5.1503
130,df_to_dp_23,2,0.0913,7.4417,5.3752
131,df_to_dp_24,2,0.0913,8.5239,5.3878
132,df_to_dp_25,2,0.0913,6.8529,4.8389
133,df_to_dp_26,2,0.0913,6.5601,4.4749
134,df_to_dp_27,2,0.0913,6.7832,4.6787
135,df_to_dp_28,2,0.0913,7.6536,4.9828
136,df_to_dp_29,2,0.0913,6.8399,4.8529
137,df_to_dp_30,2,0.0913,7.3561,4.9635
138,df_to_dp_31,2,0.0913,12.2215,7.6529
139,df_to_dp_32,2,0.0913,7.9192,5.2869
140,df_to_dp_33,2,0.0913,7.4831,5.0501
141,df_to_dp_34,2,0.0913,13.4005,8.3686
142,df_to_dp_35,2,0.0913,7.4081,5.0866
143,df_to_dp_36,2,0.0913,6.9804,4.5781
