,scenario,run,acc,f1_score,auroc
75,syn_wal_68_to_dp_wal_68,5,0.7200,0.6228,0.9170
76,syn_wal_68_to_dp_wal_68,6,0.7400,0.6570,0.9503
77,syn_wal_68_to_dp_wal_68,7,0.7250,0.6304,0.8913
78,syn_wal_68_to_dp_wal_68,8,0.7450,0.7010,0.9220
79,syn_wal_68_to_dp_wal_68,9,0.7250,0.6310,0.9616
80,syn_wal_69_to_dp_wal_69,0,0.6250,0.5722,0.9041
81,syn_wal_69_to_dp_wal_69,1,0.6500,0.5931,0.8771
82,syn_wal_69_to_dp_wal_69,2,0.6700,0.5942,0.9212
83,syn_wal_69_to_dp_wal_69,3,0.6300,0.5685,0.8600
84,syn_wal_69_to_dp_wal_69,4,0.5800,0.5306,0.8767
85,syn_wal_69_to_dp_wal_69,5,0.6400,0.5721,0.8967
86,syn_wal_69_to_dp_wal_69,6,0.6800,0.6064,0.9035
87,syn_wal_69_to_dp_wal_69,7,0.6450,0.5992,0.8948
88,syn_wal_69_to_dp_wal_69,8,0.6100,0.5492,0.9030
89,syn_wal_69_to_dp_wal_69,9,0.6600,0.5790,0.9148
90,syn_wal_70_to_dp_wal_70,0,0.4150,0.3396,0.7648
91,syn_wal_70_to_dp_wal_70,1,0.4600,0.4046,0.7924
92,syn_wal_70_to_dp_wal_70,2,0.3750,0.3007,0.7807
93,syn_wal_70_to_dp_wal_70,3,0.4850,0.3368,0.7520
94,syn_wal_70_to_dp_wal_70,4,0.3850,0.3059,0.7707
95,syn_wal_70_to_dp_wal_70,5,0.5350,0.4483,0.7961
96,syn_wal_70_to_dp_wal_70,6,0.3900,0.3008,0.7589
97,syn_wal_70_to_dp_wal_70,7,0.3900,0.3214,0.7718
98,syn_wal_70_to_dp_wal_70,8,0.3950,0.3295,0.7927
99,syn_wal_70_to_dp_wal_70,9,0.5350,0.4376,0.8144
100,syn_wal_71_to_dp_wal_71,0,0.6300,0.6013,0.8886
101,syn_wal_71_to_dp_wal_71,1,0.6700,0.5958,0.9142
102,syn_wal_71_to_dp_wal_71,2,0.6200,0.5987,0.8701
103,syn_wal_71_to_dp_wal_71,3,0.5850,0.5457,0.8808
104,syn_wal_71_to_dp_wal_71,4,0.6800,0.6529,0.9081
105,syn_wal_71_to_dp_wal_71,5,0.6450,0.5883,0.9120
106,syn_wal_71_to_dp_wal_71,6,0.6600,0.6192,0.8765
107,syn_wal_71_to_dp_wal_71,7,0.6800,0.6125,0.9206
108,syn_wal_71_to_dp_wal_71,8,0.6950,0.6943,0.8667
109,syn_wal_71_to_dp_wal_71,9,0.6700,0.5994,0.9009
110,syn_wal_72_to_dp_wal_72,0,0.6200,0.5308,0.9063
111,syn_wal_72_to_dp_wal_72,1,0.5900,0.4933,0.8917
112,syn_wal_72_to_dp_wal_72,2,0.5900,0.4939,0.9092
113,syn_wal_72_to_dp_wal_72,3,0.5700,0.4826,0.8737
114,syn_wal_72_to_dp_wal_72,4,0.6550,0.5783,0.9168
115,syn_wal_72_to_dp_wal_72,5,0.6800,0.6065,0.9098
116,syn_wal_72_to_dp_wal_72,6,0.6150,0.5211,0.9095
117,syn_wal_72_to_dp_wal_72,7,0.6400,0.5575,0.9343
118,syn_wal_72_to_dp_wal_72,8,0.5250,0.4328,0.8871
119,syn_wal_72_to_dp_wal_72,9,0.6300,0.5478,0.9266
120,syn_wal_73_to_dp_wal_73,0,0.5350,0.4677,0.8692
121,syn_wal_73_to_dp_wal_73,1,0.6600,0.6002,0.8487
122,syn_wal_73_to_dp_wal_73,2,0.6600,0.5961,0.8692
123,syn_wal_73_to_dp_wal_73,3,0.5650,0.4818,0.7946
124,syn_wal_73_to_dp_wal_73,4,0.5350,0.4743,0.8453
125,syn_wal_73_to_dp_wal_73,5,0.6400,0.5744,0.8591
126,syn_wal_73_to_dp_wal_73,6,0.6250,0.5589,0.8626
127,syn_wal_73_to_dp_wal_73,7,0.6500,0.5884,0.8623
128,syn_wal_73_to_dp_wal_73,8,0.5950,0.5492,0.8757
129,syn_wal_73_to_dp_wal_73,9,0.5950,0.5599,0.8703
130,syn_wal_74_to_dp_wal_74,0,0.4323,0.3630,0.7421
131,syn_wal_74_to_dp_wal_74,1,0.4323,0.3633,0.7416
132,syn_wal_74_to_dp_wal_74,2,0.4740,0.3860,0.7527
133,syn_wal_74_to_dp_wal_74,3,0.4375,0.3788,0.7463
134,syn_wal_74_to_dp_wal_74,4,0.4271,0.3763,0.7284
135,syn_wal_74_to_dp_wal_74,5,0.4219,0.3738,0.7237
136,syn_wal_74_to_dp_wal_74,6,0.4167,0.3775,0.7292
137,syn_wal_74_to_dp_wal_74,7,0.4010,0.3498,0.6837
138,syn_wal_74_to_dp_wal_74,8,0.4115,0.3219,0.7493
139,syn_wal_74_to_dp_wal_74,9,0.4271,0.3664,0.7421
140,syn_wal_75_to_dp_wal_75,0,0.7650,0.7426,0.9340
141,syn_wal_75_to_dp_wal_75,1,0.5650,0.4704,0.9328
142,syn_wal_75_to_dp_wal_75,2,0.5950,0.5558,0.8622
143,syn_wal_75_to_dp_wal_75,3,0.6000,0.5646,0.8764
144,syn_wal_75_to_dp_wal_75,4,0.5650,0.4909,0.8772
145,syn_wal_75_to_dp_wal_75,5,0.5600,0.4620,0.8996
146,syn_wal_75_to_dp_wal_75,6,0.6700,0.6366,0.9388
147,syn_wal_75_to_dp_wal_75,7,0.7800,0.7656,0.9328
148,syn_wal_75_to_dp_wal_75,8,0.5850,0.5181,0.8808
149,syn_wal_75_to_dp_wal_75,9,0.6100,0.5407,0.9077
150,mean,-,0.5876,0.5322,0.8533
151,std,-,0.1143,0.1168,0.0809
