,scenario,run,src_risk,few_shot_risk,trg_risk
74,syn_wal_68_to_dp_wal_68,4,0.0096,1.4236,1.4364
75,syn_wal_68_to_dp_wal_68,5,0.0011,2.5839,2.6655
76,syn_wal_68_to_dp_wal_68,6,0.0020,2.2179,2.4186
77,syn_wal_68_to_dp_wal_68,7,0.0020,2.2516,1.6892
78,syn_wal_68_to_dp_wal_68,8,0.0374,1.4492,1.4846
79,syn_wal_68_to_dp_wal_68,9,0.0024,2.6002,1.8312
80,syn_wal_69_to_dp_wal_69,0,0.0009,1.7271,1.5088
81,syn_wal_69_to_dp_wal_69,1,0.0096,1.6149,1.5420
82,syn_wal_69_to_dp_wal_69,2,0.0015,1.4991,1.5898
83,syn_wal_69_to_dp_wal_69,3,0.0329,2.3768,2.3589
84,syn_wal_69_to_dp_wal_69,4,0.0012,2.2878,1.6207
85,syn_wal_69_to_dp_wal_69,5,0.0089,1.9664,1.8313
86,syn_wal_69_to_dp_wal_69,6,0.0356,2.3820,2.1666
87,syn_wal_69_to_dp_wal_69,7,0.0009,1.3114,1.4582
88,syn_wal_69_to_dp_wal_69,8,0.0047,2.4717,1.6699
89,syn_wal_69_to_dp_wal_69,9,0.0035,1.6550,1.6167
90,syn_wal_70_to_dp_wal_70,0,0.0012,3.9284,3.9661
91,syn_wal_70_to_dp_wal_70,1,0.0004,2.8744,3.1868
92,syn_wal_70_to_dp_wal_70,2,0.0011,3.0550,4.2374
93,syn_wal_70_to_dp_wal_70,3,0.1345,6.2079,4.3369
94,syn_wal_70_to_dp_wal_70,4,0.0009,4.5604,3.6970
95,syn_wal_70_to_dp_wal_70,5,0.0046,4.5288,4.1599
96,syn_wal_70_to_dp_wal_70,6,0.0017,5.0922,5.4160
97,syn_wal_70_to_dp_wal_70,7,0.0006,4.4114,3.9276
98,syn_wal_70_to_dp_wal_70,8,0.0006,3.9374,3.9055
99,syn_wal_70_to_dp_wal_70,9,0.0194,3.4151,3.5032
100,syn_wal_71_to_dp_wal_71,0,0.0023,1.8941,1.2988
101,syn_wal_71_to_dp_wal_71,1,0.0075,2.5391,2.3121
102,syn_wal_71_to_dp_wal_71,2,0.0050,1.5543,1.3345
103,syn_wal_71_to_dp_wal_71,3,0.0715,1.6477,1.7536
104,syn_wal_71_to_dp_wal_71,4,0.0026,1.2808,1.1711
105,syn_wal_71_to_dp_wal_71,5,0.0024,1.4702,1.7312
106,syn_wal_71_to_dp_wal_71,6,0.0990,1.0727,1.7199
107,syn_wal_71_to_dp_wal_71,7,0.0010,1.5653,1.4039
108,syn_wal_71_to_dp_wal_71,8,0.0334,1.4324,1.1971
109,syn_wal_71_to_dp_wal_71,9,0.0125,1.6592,2.0590
110,syn_wal_72_to_dp_wal_72,0,0.0023,3.0108,2.6147
111,syn_wal_72_to_dp_wal_72,1,0.0011,3.3496,2.7875
112,syn_wal_72_to_dp_wal_72,2,0.0072,3.6123,3.2463
113,syn_wal_72_to_dp_wal_72,3,0.0005,2.5828,2.7568
