,scenario,run,acc,f1_score,auroc
99,df_to_dp_15,6,0.5000,0.3750,0.8156
100,df_to_dp_16,6,0.3300,0.2280,0.8985
101,df_to_dp_17,6,0.4950,0.3719,0.8093
102,df_to_dp_18,6,0.4950,0.3719,0.7801
103,df_to_dp_19,6,0.4792,0.3641,0.7865
104,df_to_dp_20,6,0.5000,0.3750,0.8077
105,df_to_dp_6,7,0.2500,0.1000,0.8202
106,df_to_dp_7,7,0.5000,0.3750,0.7996
107,df_to_dp_8,7,0.2500,0.1000,0.8056
108,df_to_dp_9,7,0.4550,0.3449,0.7858
109,df_to_dp_10,7,0.2800,0.1560,0.6889
110,df_to_dp_11,7,0.3450,0.2459,0.7347
111,df_to_dp_12,7,0.3300,0.2280,0.6604
112,df_to_dp_13,7,0.5000,0.3750,0.6422
113,df_to_dp_14,7,0.5000,0.3750,0.7570
114,df_to_dp_15,7,0.5000,0.3750,0.7713
115,df_to_dp_16,7,0.2500,0.1000,0.8387
116,df_to_dp_17,7,0.3350,0.2342,0.7044
117,df_to_dp_18,7,0.4150,0.3140,0.6827
118,df_to_dp_19,7,0.4792,0.3641,0.7929
119,df_to_dp_20,7,0.4100,0.3098,0.7613
120,df_to_dp_6,8,0.2500,0.1000,0.8204
121,df_to_dp_7,8,0.5000,0.3750,0.7521
122,df_to_dp_8,8,0.2500,0.1000,0.7266
123,df_to_dp_9,8,0.4650,0.3520,0.7712
124,df_to_dp_10,8,0.2800,0.1560,0.7105
125,df_to_dp_11,8,0.4200,0.3181,0.7632
126,df_to_dp_12,8,0.3950,0.2967,0.6556
127,df_to_dp_13,8,0.5000,0.3750,0.5747
128,df_to_dp_14,8,0.5000,0.3750,0.7679
129,df_to_dp_15,8,0.5000,0.3750,0.7619
130,df_to_dp_16,8,0.2500,0.1000,0.8058
131,df_to_dp_17,8,0.4750,0.3588,0.6834
132,df_to_dp_18,8,0.4850,0.3654,0.7097
133,df_to_dp_19,8,0.4792,0.3641,0.7924
134,df_to_dp_20,8,0.4950,0.3719,0.7767
135,df_to_dp_6,9,0.2500,0.1000,0.8427
136,df_to_dp_7,9,0.4900,0.3687,0.6423
137,df_to_dp_8,9,0.2500,0.1000,0.8480
138,df_to_dp_9,9,0.4450,0.3376,0.6258
139,df_to_dp_10,9,0.2500,0.1000,0.7545
140,df_to_dp_11,9,0.2500,0.1000,0.7013
141,df_to_dp_12,9,0.2500,0.1000,0.6160
142,df_to_dp_13,9,0.2700,0.1387,0.6064
143,df_to_dp_14,9,0.5000,0.3750,0.7469
144,df_to_dp_15,9,0.4950,0.3719,0.7011
145,df_to_dp_16,9,0.2500,0.1000,0.8040
146,df_to_dp_17,9,0.2500,0.1000,0.7420
147,df_to_dp_18,9,0.2500,0.1000,0.6930
148,df_to_dp_19,9,0.4375,0.3376,0.7018
149,df_to_dp_20,9,0.2500,0.1000,0.7029
150,mean,-,0.3650,0.2354,0.7700
151,std,-,0.1122,0.1241,0.0740
