,scenario,run,acc,f1_score,auroc
75,syn_wal_13_to_dp_wal_13,5,0.6250,0.6135,0.7892
76,syn_wal_13_to_dp_wal_13,6,0.5500,0.5671,0.7842
77,syn_wal_13_to_dp_wal_13,7,0.4500,0.4685,0.7500
78,syn_wal_13_to_dp_wal_13,8,0.5250,0.5205,0.7983
79,syn_wal_13_to_dp_wal_13,9,0.4500,0.3984,0.7500
80,syn_wal_14_to_dp_wal_14,0,0.4500,0.4522,0.7442
81,syn_wal_14_to_dp_wal_14,1,0.4750,0.4569,0.7458
82,syn_wal_14_to_dp_wal_14,2,0.5000,0.4800,0.7600
83,syn_wal_14_to_dp_wal_14,3,0.5250,0.4825,0.7767
84,syn_wal_14_to_dp_wal_14,4,0.5250,0.4868,0.8025
85,syn_wal_14_to_dp_wal_14,5,0.5500,0.5213,0.8317
86,syn_wal_14_to_dp_wal_14,6,0.5250,0.5201,0.8050
87,syn_wal_14_to_dp_wal_14,7,0.6250,0.5628,0.7842
88,syn_wal_14_to_dp_wal_14,8,0.4750,0.4797,0.8067
89,syn_wal_14_to_dp_wal_14,9,0.5500,0.5124,0.7350
90,syn_wal_15_to_dp_wal_15,0,0.4500,0.3522,0.6683
91,syn_wal_15_to_dp_wal_15,1,0.5000,0.4285,0.7150
92,syn_wal_15_to_dp_wal_15,2,0.1750,0.1742,0.6575
93,syn_wal_15_to_dp_wal_15,3,0.1500,0.1638,0.6383
94,syn_wal_15_to_dp_wal_15,4,0.3000,0.2943,0.7142
95,syn_wal_15_to_dp_wal_15,5,0.3250,0.3153,0.7242
96,syn_wal_15_to_dp_wal_15,6,0.3000,0.2837,0.7158
97,syn_wal_15_to_dp_wal_15,7,0.3250,0.3155,0.7208
98,syn_wal_15_to_dp_wal_15,8,0.3000,0.2943,0.7175
99,syn_wal_15_to_dp_wal_15,9,0.3250,0.2974,0.6975
100,syn_wal_16_to_dp_wal_16,0,0.4750,0.3981,0.8550
101,syn_wal_16_to_dp_wal_16,1,0.5750,0.5005,0.8633
102,syn_wal_16_to_dp_wal_16,2,0.5750,0.5148,0.8517
103,syn_wal_16_to_dp_wal_16,3,0.5250,0.4306,0.8483
104,syn_wal_16_to_dp_wal_16,4,0.5500,0.4804,0.8775
105,syn_wal_16_to_dp_wal_16,5,0.6500,0.5898,0.8417
106,syn_wal_16_to_dp_wal_16,6,0.6000,0.5506,0.8125
