,scenario,run,acc,f1_score,auroc
0,df_to_dp_15,0,0.2778,0.2917,0.5823
1,df_to_dp_15,1,0.3333,0.2625,0.4993
2,df_to_dp_15,2,0.3333,0.3056,0.5970
3,df_to_dp_15,3,0.0556,0.0625,0.4240
4,df_to_dp_15,4,0.2778,0.2532,0.5514
5,mean,-,0.2556,0.2351,0.5308
6,std,-,0.1152,0.0988,0.0705
