,scenario,run,acc,f1_score,auroc
99,df_to_dp_70,6,0.4850,0.3644,0.7070
100,df_to_dp_71,6,0.5600,0.4798,0.8694
101,df_to_dp_72,6,0.5050,0.3854,0.9169
102,df_to_dp_73,6,0.5100,0.4375,0.8758
103,df_to_dp_74,6,0.4375,0.3640,0.6543
104,df_to_dp_75,6,0.5300,0.4426,0.8915
105,df_to_dp_61,7,0.6450,0.6506,0.9210
106,df_to_dp_62,7,0.4900,0.3737,0.7727
107,df_to_dp_63,7,0.6700,0.6689,0.8725
108,df_to_dp_64,7,0.4500,0.3632,0.7751
109,df_to_dp_65,7,0.5350,0.4512,0.8109
110,df_to_dp_66,7,0.6250,0.5657,0.8400
111,df_to_dp_67,7,0.4800,0.3962,0.7360
112,df_to_dp_68,7,0.5000,0.3929,0.8468
113,df_to_dp_69,7,0.6100,0.5692,0.8749
114,df_to_dp_70,7,0.4700,0.3650,0.7001
115,df_to_dp_71,7,0.6250,0.6192,0.8530
116,df_to_dp_72,7,0.6000,0.5530,0.9318
117,df_to_dp_73,7,0.6500,0.6187,0.9111
118,df_to_dp_74,7,0.3802,0.3321,0.6618
119,df_to_dp_75,7,0.7500,0.7293,0.9077
120,df_to_dp_61,8,0.6800,0.6759,0.9406
121,df_to_dp_62,8,0.5050,0.3955,0.8255
122,df_to_dp_63,8,0.6750,0.6770,0.8794
123,df_to_dp_64,8,0.4550,0.3721,0.8012
124,df_to_dp_65,8,0.5350,0.4566,0.8415
125,df_to_dp_66,8,0.6200,0.5623,0.8476
126,df_to_dp_67,8,0.4650,0.3918,0.7303
127,df_to_dp_68,8,0.5500,0.4870,0.8855
128,df_to_dp_69,8,0.6000,0.5750,0.8732
129,df_to_dp_70,8,0.4700,0.3669,0.7304
130,df_to_dp_71,8,0.6200,0.6082,0.8631
131,df_to_dp_72,8,0.5750,0.5223,0.9192
132,df_to_dp_73,8,0.6900,0.6865,0.9190
133,df_to_dp_74,8,0.4062,0.3546,0.6730
134,df_to_dp_75,8,0.7400,0.7272,0.9047
135,df_to_dp_61,9,0.6500,0.6212,0.9140
136,df_to_dp_62,9,0.4900,0.3822,0.7995
137,df_to_dp_63,9,0.6600,0.6517,0.8487
138,df_to_dp_64,9,0.4500,0.3740,0.8027
139,df_to_dp_65,9,0.5050,0.3972,0.8129
140,df_to_dp_66,9,0.6250,0.5518,0.8665
141,df_to_dp_67,9,0.4750,0.3818,0.7562
142,df_to_dp_68,9,0.6550,0.6269,0.9105
143,df_to_dp_69,9,0.6200,0.5583,0.8890
144,df_to_dp_70,9,0.5000,0.4006,0.7684
145,df_to_dp_71,9,0.6100,0.5770,0.8727
146,df_to_dp_72,9,0.5400,0.4642,0.9022
147,df_to_dp_73,9,0.6700,0.6372,0.9194
148,df_to_dp_74,9,0.3177,0.2426,0.6827
149,df_to_dp_75,9,0.6900,0.6295,0.8951
150,mean,-,0.5713,0.5184,0.8434
151,std,-,0.1029,0.1294,0.0748
