,scenario,run,acc,f1_score,auroc
99,df_to_dp_70,6,0.5800,0.4937,0.7747
100,df_to_dp_71,6,0.7000,0.6747,0.8914
101,df_to_dp_72,6,0.7050,0.6325,0.8319
102,df_to_dp_73,6,0.6100,0.5560,0.8851
103,df_to_dp_74,6,0.5260,0.3879,0.8371
104,df_to_dp_75,6,0.6850,0.6452,0.9514
105,df_to_dp_61,7,0.6000,0.5704,0.9006
106,df_to_dp_62,7,0.8150,0.8038,0.9585
107,df_to_dp_63,7,0.2150,0.1232,0.5750
108,df_to_dp_64,7,0.8500,0.8550,0.9745
109,df_to_dp_65,7,0.8150,0.8148,0.9546
110,df_to_dp_66,7,0.5400,0.5357,0.8200
111,df_to_dp_67,7,0.6200,0.6098,0.8941
112,df_to_dp_68,7,0.2950,0.2303,0.6138
113,df_to_dp_69,7,0.8000,0.8032,0.9112
114,df_to_dp_70,7,0.5850,0.5779,0.8162
115,df_to_dp_71,7,0.6300,0.5956,0.9206
116,df_to_dp_72,7,0.6200,0.6297,0.8917
117,df_to_dp_73,7,0.6000,0.5888,0.9270
118,df_to_dp_74,7,0.6510,0.5775,0.7592
119,df_to_dp_75,7,0.5450,0.4664,0.8576
120,df_to_dp_61,8,0.6100,0.5851,0.8775
121,df_to_dp_62,8,0.6400,0.5906,0.9395
122,df_to_dp_63,8,0.2100,0.1888,0.5816
123,df_to_dp_64,8,0.6800,0.6272,0.8929
124,df_to_dp_65,8,0.7100,0.6720,0.9103
125,df_to_dp_66,8,0.5300,0.4859,0.7618
126,df_to_dp_67,8,0.6400,0.5844,0.8479
127,df_to_dp_68,8,0.5000,0.3847,0.8001
128,df_to_dp_69,8,0.6500,0.6051,0.8493
129,df_to_dp_70,8,0.5550,0.4765,0.7770
130,df_to_dp_71,8,0.7150,0.7086,0.9188
131,df_to_dp_72,8,0.6700,0.6171,0.8494
132,df_to_dp_73,8,0.5750,0.5226,0.9130
133,df_to_dp_74,8,0.5469,0.4472,0.8854
134,df_to_dp_75,8,0.6550,0.5779,0.9238
135,df_to_dp_61,9,0.5700,0.5034,0.8607
