,scenario,run,src_risk,few_shot_risk,trg_risk
89,syn_14_to_dp_14,9,0.0021,1.4611,1.3082
90,syn_15_to_dp_15,0,0.0041,4.0846,2.9659
91,syn_15_to_dp_15,1,0.0014,4.0696,3.5382
92,syn_15_to_dp_15,2,0.0018,3.3787,3.2555
93,syn_15_to_dp_15,3,0.0038,3.6402,2.9524
94,syn_15_to_dp_15,4,0.0113,2.6486,2.7446
95,syn_15_to_dp_15,5,0.0019,3.5037,2.9914
96,syn_15_to_dp_15,6,0.0012,2.8367,2.8294
97,syn_15_to_dp_15,7,0.0019,2.7510,2.4878
98,syn_15_to_dp_15,8,0.0044,2.4272,2.3602
99,syn_15_to_dp_15,9,0.0087,2.8668,3.2166
100,syn_16_to_dp_16,0,0.0038,3.4985,2.3657
101,syn_16_to_dp_16,1,0.0017,2.4448,1.4787
102,syn_16_to_dp_16,2,0.0070,3.5787,2.2237
103,syn_16_to_dp_16,3,0.0008,2.4175,1.5629
104,syn_16_to_dp_16,4,0.0011,2.6305,1.6561
105,syn_16_to_dp_16,5,0.0013,3.7999,2.3303
106,syn_16_to_dp_16,6,0.0244,4.2998,2.7948
107,syn_16_to_dp_16,7,0.0009,2.9516,1.7872
108,syn_16_to_dp_16,8,0.0014,1.7769,1.2956
109,syn_16_to_dp_16,9,0.0594,1.6782,1.1760
110,syn_17_to_dp_17,0,0.0074,1.5868,1.1424
111,syn_17_to_dp_17,1,0.0070,1.5633,1.0203
112,syn_17_to_dp_17,2,0.0804,1.7887,1.0979
113,syn_17_to_dp_17,3,0.0016,0.8272,0.5744
114,syn_17_to_dp_17,4,0.2124,4.4057,2.7273
115,syn_17_to_dp_17,5,0.0017,1.9397,1.1103
116,syn_17_to_dp_17,6,0.0011,0.9019,0.6310
117,syn_17_to_dp_17,7,0.0103,1.3586,0.7300
118,syn_17_to_dp_17,8,0.0019,1.6763,1.1805
119,syn_17_to_dp_17,9,0.0267,0.8568,1.0010
120,syn_18_to_dp_18,0,0.0025,2.7305,1.6060
121,syn_18_to_dp_18,1,0.0118,1.8242,1.2441
122,syn_18_to_dp_18,2,0.0014,3.2784,1.6949
123,syn_18_to_dp_18,3,0.0029,1.7422,1.1552
124,syn_18_to_dp_18,4,0.0007,2.2810,1.5211
125,syn_18_to_dp_18,5,0.0039,2.0743,1.1318
126,syn_18_to_dp_18,6,0.2792,1.7981,1.6443
127,syn_18_to_dp_18,7,0.0165,1.4654,0.9804
128,syn_18_to_dp_18,8,0.0029,1.9256,1.0567
129,syn_18_to_dp_18,9,0.0169,2.9885,1.9463
130,syn_19_to_dp_19,0,0.0031,2.5143,1.7381
131,syn_19_to_dp_19,1,0.0020,2.2661,1.3417
132,syn_19_to_dp_19,2,0.0204,3.1993,3.5905
133,syn_19_to_dp_19,3,0.0082,2.8559,2.7837
134,syn_19_to_dp_19,4,0.0016,3.6590,2.3781
135,syn_19_to_dp_19,5,0.0018,3.3420,2.8906
136,syn_19_to_dp_19,6,0.0014,3.6031,2.5737
137,syn_19_to_dp_19,7,0.0039,4.0257,3.4769
138,syn_19_to_dp_19,8,0.0011,3.8669,2.9325
139,syn_19_to_dp_19,9,0.0056,2.7901,3.5925
140,syn_20_to_dp_20,0,0.0014,2.4475,1.5794
141,syn_20_to_dp_20,1,0.0015,2.0212,1.3144
142,syn_20_to_dp_20,2,0.0034,2.7197,1.8685
143,syn_20_to_dp_20,3,0.0029,1.3710,1.0279
144,syn_20_to_dp_20,4,0.0018,2.6442,1.7326
145,syn_20_to_dp_20,5,0.0010,1.7853,1.2085
146,syn_20_to_dp_20,6,0.0008,2.1897,1.4633
147,syn_20_to_dp_20,7,0.0009,1.9824,1.2987
148,syn_20_to_dp_20,8,0.0038,1.3082,1.0219
149,syn_20_to_dp_20,9,0.0017,2.2532,1.6862
150,syn_21_to_dp_21,0,0.0281,1.4674,0.8037
151,syn_21_to_dp_21,1,0.0250,0.7109,0.6630
152,syn_21_to_dp_21,2,0.0138,1.5734,0.9745
153,syn_21_to_dp_21,3,0.0242,1.4904,1.1373
154,syn_21_to_dp_21,4,0.0245,1.0719,0.7738
155,syn_21_to_dp_21,5,0.0172,1.1819,0.9659
156,syn_21_to_dp_21,6,0.0233,0.9936,0.8165
157,syn_21_to_dp_21,7,0.0185,1.8170,2.0094
158,syn_21_to_dp_21,8,0.0583,1.4307,0.8953
159,syn_21_to_dp_21,9,0.0373,1.6338,1.2599
160,syn_22_to_dp_22,0,0.0563,1.4245,1.1063
161,syn_22_to_dp_22,1,0.0081,0.9197,0.9340
162,syn_22_to_dp_22,2,0.0119,1.2347,0.8093
163,syn_22_to_dp_22,3,0.0058,0.8511,1.0499
164,syn_22_to_dp_22,4,0.0084,1.2272,1.5958
165,syn_22_to_dp_22,5,0.0048,1.0813,0.8247
166,syn_22_to_dp_22,6,0.0053,0.7968,0.5983
167,syn_22_to_dp_22,7,0.0201,0.8421,0.6874
168,syn_22_to_dp_22,8,0.0143,1.7587,1.0965
169,syn_22_to_dp_22,9,0.0098,0.9663,0.9499
170,syn_23_to_dp_23,0,0.0040,1.6484,1.1436
171,syn_23_to_dp_23,1,0.0648,3.5256,2.7455
172,syn_23_to_dp_23,2,0.0288,4.4460,2.7172
173,syn_23_to_dp_23,3,0.0614,4.0205,3.2618
174,syn_23_to_dp_23,4,0.0076,1.3804,1.0483
175,syn_23_to_dp_23,5,0.0018,2.9308,2.0288
176,syn_23_to_dp_23,6,0.0044,2.7938,2.1918
177,syn_23_to_dp_23,7,0.0024,2.1027,1.6256
178,syn_23_to_dp_23,8,0.0082,2.2562,1.4974
179,syn_23_to_dp_23,9,0.0021,3.1457,2.1165
180,syn_24_to_dp_24,0,0.0010,1.8875,1.4022
181,syn_24_to_dp_24,1,0.0014,1.9435,1.9285
182,syn_24_to_dp_24,2,0.0254,1.2574,1.1936
183,syn_24_to_dp_24,3,0.0023,2.0876,1.7966
184,syn_24_to_dp_24,4,0.0028,1.2947,1.4141
185,syn_24_to_dp_24,5,0.0008,1.2129,1.3670
186,syn_24_to_dp_24,6,0.0008,1.6538,1.5147
187,syn_24_to_dp_24,7,0.0013,1.7751,1.8469
188,syn_24_to_dp_24,8,0.0052,1.7925,1.3455
189,syn_24_to_dp_24,9,0.0051,1.5354,1.9595
190,syn_25_to_dp_25,0,0.0062,2.5452,4.0770
191,syn_25_to_dp_25,1,0.0061,2.6199,4.0382
192,syn_25_to_dp_25,2,0.0062,3.4498,4.9279
193,syn_25_to_dp_25,3,0.0104,2.6472,4.1357
194,syn_25_to_dp_25,4,0.0305,1.3059,2.0683
