,scenario,run,acc,f1_score,auroc
89,syn_23_to_dp_23,9,0.5000,0.3782,0.8092
90,syn_24_to_dp_24,0,0.4500,0.4112,0.7242
91,syn_24_to_dp_24,1,0.5000,0.4067,0.6783
92,syn_24_to_dp_24,2,0.3500,0.3257,0.7033
93,syn_24_to_dp_24,3,0.4000,0.3983,0.7042
94,syn_24_to_dp_24,4,0.4500,0.3553,0.7767
95,syn_24_to_dp_24,5,0.5500,0.4757,0.8042
96,syn_24_to_dp_24,6,0.4500,0.4559,0.7833
97,syn_24_to_dp_24,7,0.4750,0.3588,0.6925
98,syn_24_to_dp_24,8,0.5000,0.4726,0.7500
99,syn_24_to_dp_24,9,0.4750,0.3588,0.6867
100,syn_25_to_dp_25,0,0.4250,0.3376,0.8242
101,syn_25_to_dp_25,1,0.5250,0.4877,0.8275
102,syn_25_to_dp_25,2,0.2750,0.3053,0.7042
103,syn_25_to_dp_25,3,0.4250,0.3347,0.8350
104,syn_25_to_dp_25,4,0.4250,0.3376,0.7950
105,syn_25_to_dp_25,5,0.4500,0.3442,0.7733
106,syn_25_to_dp_25,6,0.4750,0.3588,0.8033
107,syn_25_to_dp_25,7,0.5000,0.4424,0.8042
108,syn_25_to_dp_25,8,0.3500,0.2811,0.4833
109,syn_25_to_dp_25,9,0.4750,0.4007,0.8633
110,syn_26_to_dp_26,0,0.5000,0.3943,0.8242
111,syn_26_to_dp_26,1,0.3000,0.2000,0.7650
112,syn_26_to_dp_26,2,0.3750,0.3165,0.8325
113,syn_26_to_dp_26,3,0.5000,0.3679,0.7742
114,syn_26_to_dp_26,4,0.3500,0.2679,0.7842
115,syn_26_to_dp_26,5,0.5750,0.5107,0.8508
116,syn_26_to_dp_26,6,0.6000,0.5275,0.8558
117,syn_26_to_dp_26,7,0.4250,0.3426,0.8283
118,syn_26_to_dp_26,8,0.4750,0.4524,0.8350
119,syn_26_to_dp_26,9,0.5750,0.4924,0.8217
120,syn_27_to_dp_27,0,0.5250,0.5238,0.7683
121,syn_27_to_dp_27,1,0.4250,0.4348,0.6925
122,syn_27_to_dp_27,2,0.5250,0.4309,0.7625
123,syn_27_to_dp_27,3,0.5500,0.5240,0.7800
124,syn_27_to_dp_27,4,0.4500,0.4087,0.7517
125,syn_27_to_dp_27,5,0.5250,0.5177,0.7775
126,syn_27_to_dp_27,6,0.6250,0.5830,0.7858
127,syn_27_to_dp_27,7,0.5250,0.5242,0.7942
128,syn_27_to_dp_27,8,0.4750,0.4639,0.7750
129,syn_27_to_dp_27,9,0.5500,0.4722,0.7683
130,syn_28_to_dp_28,0,0.7250,0.7182,0.8417
131,syn_28_to_dp_28,1,0.5250,0.4236,0.8767
132,syn_28_to_dp_28,2,0.7000,0.6235,0.8650
133,syn_28_to_dp_28,3,0.4000,0.4378,0.7167
134,syn_28_to_dp_28,4,0.5500,0.5304,0.7858
135,syn_28_to_dp_28,5,0.6000,0.5825,0.7833
136,syn_28_to_dp_28,6,0.5250,0.5000,0.8125
137,syn_28_to_dp_28,7,0.6000,0.5441,0.7533
138,syn_28_to_dp_28,8,0.6500,0.5929,0.8333
139,syn_28_to_dp_28,9,0.7000,0.6272,0.8858
140,syn_29_to_dp_29,0,0.5000,0.4467,0.7000
141,syn_29_to_dp_29,1,0.3000,0.1875,0.7075
142,syn_29_to_dp_29,2,0.4750,0.4001,0.6192
143,syn_29_to_dp_29,3,0.4500,0.4097,0.6600
144,syn_29_to_dp_29,4,0.4750,0.4153,0.6242
145,syn_29_to_dp_29,5,0.4750,0.3864,0.6683
146,syn_29_to_dp_29,6,0.5000,0.3750,0.6417
147,syn_29_to_dp_29,7,0.4500,0.4189,0.6708
148,syn_29_to_dp_29,8,0.3750,0.3214,0.6250
149,syn_29_to_dp_29,9,0.4500,0.4559,0.7417
150,syn_30_to_dp_30,0,0.5750,0.5009,0.7958
151,syn_30_to_dp_30,1,0.5000,0.4666,0.7600
152,syn_30_to_dp_30,2,0.5500,0.4852,0.7267
153,syn_30_to_dp_30,3,0.5500,0.5215,0.8142
154,syn_30_to_dp_30,4,0.5750,0.5207,0.8025
155,syn_30_to_dp_30,5,0.6750,0.6342,0.8567
156,syn_30_to_dp_30,6,0.6000,0.5860,0.8042
157,syn_30_to_dp_30,7,0.5750,0.5641,0.8067
158,syn_30_to_dp_30,8,0.5750,0.4974,0.6825
159,syn_30_to_dp_30,9,0.5250,0.4852,0.7975
160,syn_31_to_dp_31,0,0.5750,0.5182,0.7633
161,syn_31_to_dp_31,1,0.5250,0.4784,0.6750
162,syn_31_to_dp_31,2,0.5500,0.4727,0.7858
163,syn_31_to_dp_31,3,0.5250,0.4702,0.8133
164,syn_31_to_dp_31,4,0.5500,0.5001,0.8008
165,syn_31_to_dp_31,5,0.3750,0.3303,0.5750
166,syn_31_to_dp_31,6,0.4500,0.4072,0.5300
167,syn_31_to_dp_31,7,0.6000,0.5125,0.8717
168,syn_31_to_dp_31,8,0.5250,0.4267,0.7867
169,syn_31_to_dp_31,9,0.5750,0.5043,0.8383
170,syn_32_to_dp_32,0,0.3250,0.2748,0.7967
171,syn_32_to_dp_32,1,0.3500,0.3284,0.7800
172,syn_32_to_dp_32,2,0.4500,0.3942,0.7858
173,syn_32_to_dp_32,3,0.3750,0.3111,0.6842
174,syn_32_to_dp_32,4,0.4000,0.3213,0.7042
175,syn_32_to_dp_32,5,0.4750,0.3654,0.8017
176,syn_32_to_dp_32,6,0.4000,0.3303,0.7458
177,syn_32_to_dp_32,7,0.4000,0.3213,0.7517
178,syn_32_to_dp_32,8,0.4000,0.3213,0.8242
179,syn_32_to_dp_32,9,0.5000,0.3750,0.6550
180,syn_33_to_dp_33,0,0.6750,0.6105,0.8267
181,syn_33_to_dp_33,1,0.4250,0.4418,0.7442
182,syn_33_to_dp_33,2,0.5750,0.5556,0.8092
183,syn_33_to_dp_33,3,0.6000,0.5654,0.8400
184,syn_33_to_dp_33,4,0.6000,0.5490,0.8708
185,syn_33_to_dp_33,5,0.4750,0.4821,0.7700
186,syn_33_to_dp_33,6,0.5000,0.3971,0.7608
187,syn_33_to_dp_33,7,0.5250,0.5278,0.7725
188,syn_33_to_dp_33,8,0.4750,0.4789,0.7392
189,syn_33_to_dp_33,9,0.5000,0.3750,0.8325
190,syn_34_to_dp_34,0,0.6500,0.5952,0.6767
191,syn_34_to_dp_34,1,0.6250,0.5677,0.6817
192,syn_34_to_dp_34,2,0.6500,0.5878,0.6229
193,syn_34_to_dp_34,3,0.6500,0.5878,0.6792
194,syn_34_to_dp_34,4,0.5750,0.5133,0.7092
195,syn_34_to_dp_34,5,0.6250,0.5500,0.7358
196,syn_34_to_dp_34,6,0.5000,0.3750,0.7008
197,syn_34_to_dp_34,7,0.6500,0.5792,0.7133
198,syn_34_to_dp_34,8,0.5750,0.5400,0.6408
199,syn_34_to_dp_34,9,0.6500,0.5795,0.7392
200,syn_35_to_dp_35,0,0.7500,0.7244,0.9358
201,syn_35_to_dp_35,1,0.5500,0.4725,0.9058
202,syn_35_to_dp_35,2,0.6750,0.6497,0.8550
203,syn_35_to_dp_35,3,0.7750,0.7506,0.9283
204,syn_35_to_dp_35,4,0.5750,0.5375,0.8000
205,syn_35_to_dp_35,5,0.8000,0.7756,0.8950
206,syn_35_to_dp_35,6,0.7000,0.6466,0.8508
207,syn_35_to_dp_35,7,0.7000,0.6967,0.9133
208,syn_35_to_dp_35,8,0.6250,0.6036,0.8017
209,syn_35_to_dp_35,9,0.5500,0.5054,0.8275
210,syn_36_to_dp_36,0,0.7500,0.7221,0.9583
211,syn_36_to_dp_36,1,0.7500,0.7467,0.9492
212,syn_36_to_dp_36,2,0.6000,0.5850,0.9392
213,syn_36_to_dp_36,3,0.5250,0.5184,0.8325
214,syn_36_to_dp_36,4,0.5000,0.4393,0.8833
215,syn_36_to_dp_36,5,0.6750,0.6804,0.9367
216,syn_36_to_dp_36,6,0.5250,0.4966,0.8883
217,syn_36_to_dp_36,7,0.6500,0.6007,0.9500
218,syn_36_to_dp_36,8,0.6000,0.5695,0.9058
219,syn_36_to_dp_36,9,0.6750,0.6469,0.9225
220,syn_37_to_dp_37,0,0.2250,0.1286,0.7025
221,syn_37_to_dp_37,1,0.2750,0.2031,0.7308
222,syn_37_to_dp_37,2,0.3500,0.3611,0.7475
223,syn_37_to_dp_37,3,0.3250,0.2215,0.7942
224,syn_37_to_dp_37,4,0.4500,0.3574,0.7100
225,syn_37_to_dp_37,5,0.4250,0.3341,0.7183
226,syn_37_to_dp_37,6,0.6250,0.6018,0.9150
227,syn_37_to_dp_37,7,0.3500,0.3667,0.6958
228,syn_37_to_dp_37,8,0.4500,0.3472,0.6567
229,syn_37_to_dp_37,9,0.4250,0.3998,0.6592
230,syn_38_to_dp_38,0,0.4500,0.4333,0.6667
231,syn_38_to_dp_38,1,0.4500,0.4278,0.6508
232,syn_38_to_dp_38,2,0.4250,0.4027,0.6275
233,syn_38_to_dp_38,3,0.3750,0.3968,0.6508
234,syn_38_to_dp_38,4,0.3750,0.3486,0.6117
235,syn_38_to_dp_38,5,0.4250,0.4103,0.6425
236,syn_38_to_dp_38,6,0.3750,0.3854,0.6625
237,syn_38_to_dp_38,7,0.5000,0.4679,0.6508
238,syn_38_to_dp_38,8,0.4000,0.3599,0.6433
239,syn_38_to_dp_38,9,0.4000,0.3729,0.6675
240,syn_39_to_dp_39,0,0.5000,0.3782,0.7892
241,syn_39_to_dp_39,1,0.5250,0.4343,0.9200
242,syn_39_to_dp_39,2,0.4750,0.3650,0.9000
243,syn_39_to_dp_39,3,0.7250,0.6304,0.9417
244,syn_39_to_dp_39,4,0.5500,0.4734,0.8900
245,syn_39_to_dp_39,5,0.4500,0.3902,0.9042
246,syn_39_to_dp_39,6,0.4250,0.3636,0.7208
247,syn_39_to_dp_39,7,0.5250,0.4309,0.9025
248,syn_39_to_dp_39,8,0.4500,0.4077,0.8050
249,syn_39_to_dp_39,9,0.5250,0.4306,0.8492
250,syn_40_to_dp_40,0,0.5000,0.4740,0.8592
251,syn_40_to_dp_40,1,0.6250,0.5747,0.8575
252,syn_40_to_dp_40,2,0.5000,0.4391,0.8492
253,syn_40_to_dp_40,3,0.6750,0.6366,0.8583
254,syn_40_to_dp_40,4,0.6250,0.5869,0.9450
255,syn_40_to_dp_40,5,0.6500,0.5795,0.8525
256,syn_40_to_dp_40,6,0.6500,0.6439,0.8950
257,syn_40_to_dp_40,7,0.6000,0.5337,0.8758
258,syn_40_to_dp_40,8,0.5750,0.5698,0.8417
259,syn_40_to_dp_40,9,0.6500,0.6138,0.8800
260,syn_41_to_dp_41,0,0.1750,0.2235,0.5492
261,syn_41_to_dp_41,1,0.2500,0.2898,0.6033
262,syn_41_to_dp_41,2,0.2500,0.2523,0.5400
263,syn_41_to_dp_41,3,0.1500,0.1922,0.5158
264,syn_41_to_dp_41,4,0.1250,0.1682,0.5100
265,syn_41_to_dp_41,5,0.2500,0.2998,0.6167
266,syn_41_to_dp_41,6,0.3500,0.3609,0.6775
267,syn_41_to_dp_41,7,0.1250,0.1333,0.4492
268,syn_41_to_dp_41,8,0.3250,0.3553,0.5858
269,syn_41_to_dp_41,9,0.3500,0.3826,0.6075
270,syn_42_to_dp_42,0,0.4750,0.4543,0.7742
271,syn_42_to_dp_42,1,0.2500,0.1042,0.7179
272,syn_42_to_dp_42,2,0.2250,0.1643,0.7258
273,syn_42_to_dp_42,3,0.2750,0.1737,0.7458
274,syn_42_to_dp_42,4,0.5250,0.5156,0.8662
275,syn_42_to_dp_42,5,0.4000,0.3465,0.7475
276,syn_42_to_dp_42,6,0.3000,0.2305,0.7467
277,syn_42_to_dp_42,7,0.3000,0.2260,0.7317
278,syn_42_to_dp_42,8,0.2500,0.1163,0.7450
279,syn_42_to_dp_42,9,0.5000,0.4167,0.7558
280,syn_43_to_dp_43,0,0.4250,0.4050,0.5942
281,syn_43_to_dp_43,1,0.4000,0.4000,0.6092
282,syn_43_to_dp_43,2,0.3500,0.3155,0.6200
283,syn_43_to_dp_43,3,0.4250,0.3873,0.6808
284,syn_43_to_dp_43,4,0.3500,0.2986,0.6108
285,syn_43_to_dp_43,5,0.4500,0.4049,0.6133
286,syn_43_to_dp_43,6,0.4250,0.4027,0.6533
287,syn_43_to_dp_43,7,0.4500,0.4278,0.6458
288,syn_43_to_dp_43,8,0.4250,0.3883,0.6533
289,syn_43_to_dp_43,9,0.4750,0.4036,0.6467
290,syn_44_to_dp_44,0,0.5750,0.5525,0.8458
291,syn_44_to_dp_44,1,0.7000,0.6536,0.8742
292,syn_44_to_dp_44,2,0.5500,0.5554,0.8383
293,syn_44_to_dp_44,3,0.5000,0.4649,0.8050
294,syn_44_to_dp_44,4,0.4500,0.4686,0.7842
295,syn_44_to_dp_44,5,0.6000,0.5999,0.8217
296,syn_44_to_dp_44,6,0.5750,0.5805,0.8300
297,syn_44_to_dp_44,7,0.5750,0.5214,0.8358
298,syn_44_to_dp_44,8,0.7250,0.7340,0.8900
299,syn_44_to_dp_44,9,0.4250,0.4562,0.7600
300,syn_45_to_dp_45,0,0.5250,0.5238,0.8317
301,syn_45_to_dp_45,1,0.6750,0.6036,0.8367
302,syn_45_to_dp_45,2,0.7500,0.6667,0.9583
303,syn_45_to_dp_45,3,0.6500,0.5717,0.8217
304,syn_45_to_dp_45,4,0.7500,0.6667,0.8442
305,syn_45_to_dp_45,5,0.7000,0.6285,0.8133
306,syn_45_to_dp_45,6,0.6250,0.5980,0.8475
307,syn_45_to_dp_45,7,0.7000,0.6285,0.7933
308,syn_45_to_dp_45,8,0.6750,0.5978,0.8683
309,syn_45_to_dp_45,9,0.7250,0.6481,0.8075
310,syn_46_to_dp_46,0,0.5250,0.4232,0.9433
311,syn_46_to_dp_46,1,0.5000,0.3750,0.9417
312,syn_46_to_dp_46,2,0.9250,0.9246,0.9933
313,syn_46_to_dp_46,3,0.8500,0.8439,0.9708
314,syn_46_to_dp_46,4,0.6250,0.5533,0.9650
315,syn_46_to_dp_46,5,0.7750,0.7482,0.9758
316,syn_46_to_dp_46,6,0.7000,0.6104,0.9800
317,syn_46_to_dp_46,7,0.5750,0.4960,0.9633
318,syn_46_to_dp_46,8,0.6000,0.5317,0.9700
319,syn_46_to_dp_46,9,0.5000,0.3750,0.9525
320,syn_47_to_dp_47,0,0.4500,0.3442,0.8750
321,syn_47_to_dp_47,1,0.4250,0.2859,0.8708
322,syn_47_to_dp_47,2,0.6000,0.5595,0.8817
323,syn_47_to_dp_47,3,0.5750,0.5208,0.9258
324,syn_47_to_dp_47,4,0.7000,0.6389,0.9200
325,syn_47_to_dp_47,5,0.5500,0.4910,0.8175
326,syn_47_to_dp_47,6,0.5250,0.4237,0.8242
327,syn_47_to_dp_47,7,0.4750,0.3499,0.8967
328,syn_47_to_dp_47,8,0.4250,0.3483,0.8833
329,syn_47_to_dp_47,9,0.5000,0.4345,0.8867
